Name,Rarity,Type,Color,Cost,CostUpgrade,Desc,DescUpgrade
Bash,Basic,Attack,Red,2,2,Deal 8 damage. Apply 2 Vulnerable .,Deal 10 damage. Apply 3 Vulnerable .
Defend,Basic,Skill,ALL,1,1,Gain 5 Block .,Gain 8 Block .
Strike,Basic,Attack,ALL,1,1,Deal 6 damage.,Deal 9 damage.
Defend (Ironclad),Basic,Skill,Red,1,1,Gain 5 Block .,Gain 8 Block .
Strike (Ironclad),Basic,Attack,Red,1,1,Deal 6 damage.,Deal 9 damage.
Anger,Common,Attack,Red,0,0,Deal 6 damage. Add a copy of this card into your discard pile.,Deal 8 damage. Add a copy of this card into your discard pile.
Armaments,Common,Skill,Red,1,1,Gain 5 Block . Upgrade a card in your hand for the rest of combat.,Gain 5 Block . Upgrade all cards in your hand for the rest of combat.
Body Slam,Common,Attack,Red,1,0,Deal damage equal to your Block .,Deal damage equal to your Block .
Clash,Common,Attack,Red,0,0,Can only be played if every card in your hand is an Attack. Deal 14 damage.,Can only be played if every card in your hand is an Attack. Deal 18 damage.
Cleave,Common,Attack,Red,1,1,Deal 8 damage to ALL enemies.,Deal 11 damage to ALL enemies.
Clothesline,Common,Attack,Red,2,2,Deal 12 damage. Apply 2 Weak .,Deal 14 damage. Apply 3 Weak .
Flex,Common,Skill,Red,0,0,"Gain 2 Strength . At the end of this turn, lose 2 Strength .","Gain 4 Strength . At the end of this turn, lose 4 Strength ."
Havoc,Common,Skill,Red,1,0,Play the top card of your draw pile and Exhaust it.,Play the top card of your draw pile and Exhaust it.
Headbutt,Common,Attack,Red,1,1,Deal 9 damage. Put a card from your discard pile on top of your draw pile.,Deal 12 damage. Put a card from your discard pile on top of your draw pile.
Heavy Blade,Common,Attack,Red,2,2,Deal 14 damage. Strength affects this card 3 times.,Deal 14 damage. Strength affects this card 5 times.
Iron Wave,Common,Attack,Red,1,1,Gain 5 Block . Deal 5 damage.,Gain 7 Block . Deal 7 damage.
Perfected Strike,Common,Attack,Red,2,2,"Deal 6 damage. Deals 2 additional damage for ALL your cards containing ""Strike"".","Deal 6 damage. Deals 3 additional damage for ALL your cards containing ""Strike""."
Pommel Strike,Common,Attack,Red,1,1,Deal 9 damage. Draw 1 card.,Deal 10 damage. Draw 2 cards.
Shrug It Off,Common,Skill,Red,1,1,Gain 8 Block . Draw 1 card.,Gain 11 Block . Draw 1 card.
Sword Boomerang,Common,Attack,Red,1,1,Deal 3 damage to a random enemy 3 times.,Deal 3 damage to a random enemy 4 times.
Thunderclap,Common,Attack,Red,1,1,Deal 4 damage and apply 1 Vulnerable to ALL enemies.,Deal 7 damage and apply 1 Vulnerable to ALL enemies.
True Grit,Common,Skill,Red,1,1,Gain 7 Block . Exhaust 1 card at random.,Gain 9 Block . Exhaust 1 card.
Twin Strike,Common,Attack,Red,1,1,Deal 5 damage twice.,Deal 7 damage twice.
Warcry,Common,Skill,Red,0,0,Draw 1 card. Put a card from your hand onto the top of your draw pile. Exhaust .,Draw 2 cards. Put a card from your hand onto the top of your draw pile. Exhaust .
Wild Strike,Common,Attack,Red,1,1,Deal 12 damage. Shuffle a Wound into your draw pile.,Deal 17 damage. Shuffle a Wound into your draw pile.
Battle Trance,Uncommon,Skill,Red,0,0,Draw 3 cards. You cannot draw additional cards this turn.,Draw 4 cards. You cannot draw additional cards this turn.
Blood for Blood,Uncommon,Attack,Red,4,3,Costs 1 less Energy for each time you lose HP this combat. Deal 18 damage.,Costs 1 less Energy for each time you lose HP this combat. Deal 22 damage.
Bloodletting,Uncommon,Skill,Red,0,0,Lose 3 HP. Gain 2 Energy.,Lose 3 HP. Gain 3 Energy.
Burning Pact,Uncommon,Skill,Red,1,1,Exhaust 1 card. Draw 2 cards.,Exhaust 1 card. Draw 3 cards.
Carnage,Uncommon,Attack,Red,2,2,Ethereal . Deal 20 damage.,Ethereal . Deal 28 damage.
Combust,Uncommon,Power,Red,1,1,"At the end of your turn, lose 1 HP and deal 5 damage to ALL enemies.","At the end of your turn, lose 1 HP and deal 7 damage to ALL enemies."
Dark Embrace,Uncommon,Power,Red,2,1,"Whenever a card is Exhausted , draw 1 card.","Whenever a card is Exhausted , draw 1 card."
Disarm,Uncommon,Skill,Red,1,1,Enemy loses 2 Strength . Exhaust .,Enemy loses 3 Strength . Exhaust .
Dropkick,Uncommon,Attack,Red,1,1,"Deal 5 damage. If the enemy has Vulnerable , gain 1 Energy and draw 1 card.","Deal 8 damage. If the enemy has Vulnerable , gain 1 Energy and draw 1 card."
Dual Wield,Uncommon,Skill,Red,1,1,Choose an Attack or Power card. Add a copy of that card into your hand.,Choose an Attack or Power card. Add 2 copies of that card into your hand.
Entrench,Uncommon,Skill,Red,2,1,Double your Block .,Double your Block .
Evolve,Uncommon,Power,Red,1,1,"Whenever you draw a Status card, draw 1 card.","Whenever you draw a Status card, draw 2 cards."
Feel No Pain,Uncommon,Power,Red,1,1,"Whenever a card is Exhausted , gain 3 Block .","Whenever a card is Exhausted , gain 4 Block ."
Fire Breathing,Uncommon,Power,Red,1,1,"Whenever you draw a Status or Curse card, deal 6 damage to ALL enemies.","Whenever you draw a Status or Curse card, deal 10 damage to ALL enemies."
Flame Barrier,Uncommon,Skill,Red,2,2,"Gain 12 Block . Whenever you are attacked this turn, deal 4 damage back.","Gain 16 Block . Whenever you are attacked this turn, deal 6 damage back."
Ghostly Armor,Uncommon,Skill,Red,1,1,Ethereal . Gain 10 Block .,Ethereal . Gain 13 Block .
Hemokinesis,Uncommon,Attack,Red,1,1,Lose 2 HP. Deal 15 damage.,Lose 2 HP. Deal 20 damage.
Infernal Blade,Uncommon,Skill,Red,1,0,Add a random Attack into your hand. It costs 0 this turn. Exhaust .,Add a random Attack into your hand. It costs 0 this turn. Exhaust .
Inflame,Uncommon,Power,Red,1,1,Gain 2 Strength .,Gain 3 Strength .
Intimidate,Uncommon,Skill,Red,0,0,Apply 1 Weak to ALL enemies. Exhaust .,Apply 2 Weak to ALL enemies. Exhaust .
Metallicize,Uncommon,Power,Red,1,1,"At the end of your turn, gain 3 Block .","At the end of your turn, gain 4 Block ."
Power Through,Uncommon,Skill,Red,1,1,Add 2 Wounds into your hand. Gain 15 Block .,Add 2 Wounds into your hand. Gain 20 Block .
Pummel,Uncommon,Attack,Red,1,1,Deal 2 damage 4 times. Exhaust .,Deal 2 damage 5 times. Exhaust .
Rage,Uncommon,Skill,Red,0,0,"Whenever you play an Attack this turn, gain 3 Block .","Whenever you play an Attack this turn, gain 5 Block ."
Rampage,Uncommon,Attack,Red,1,1,Deal 8 damage. Increase this card's damage by 5 this combat.,Deal 8 damage. Increase this card's damage by 8 this combat.
Reckless Charge,Uncommon,Attack,Red,0,0,Deal 7 damage. Shuffle a Dazed into your draw pile.,Deal 10 damage. Shuffle a Dazed into your draw pile.
Rupture,Uncommon,Power,Red,1,1,"Whenever you lose HP from a card, gain 1 Strength .","Whenever you lose HP from a card, gain 2 Strength ."
Searing Blow,Uncommon,Attack,Red,2,2,Deal 12 damage. Can be Upgraded any number of times.,Deal 16 damage. Can be Upgraded any number of times.
Second Wind,Uncommon,Skill,Red,1,1,Exhaust all non-Attack cards in your hand. Gain 5 Block for each card Exhausted .,Exhaust all non-Attack cards in your hand. Gain 7 Block for each card Exhausted .
Seeing Red,Uncommon,Skill,Red,1,0,Gain 2 Energy. Exhaust .,Gain 2 Energy. Exhaust .
Sentinel,Uncommon,Skill,Red,1,1,"Gain 5 Block . If this card is Exhausted , gain 2 Energy .","Gain 8 Block . If this card is Exhausted , gain 3 Energy ."
Sever Soul,Uncommon,Attack,Red,2,2,Exhaust all non-Attack cards in your hand. Deal 16 damage.,Exhaust all non-Attack cards in your hand. Deal 22 damage.
Shockwave,Uncommon,Skill,Red,2,2,Apply 3 Weak and Vulnerable to ALL enemies. Exhaust .,Apply 5 Weak and Vulnerable to ALL enemies. Exhaust .
Spot Weakness,Uncommon,Skill,Red,1,1,"If the enemy intends to attack, gain 3 Strength .","If the enemy intends to attack, gain 4 Strength ."
Uppercut,Uncommon,Attack,Red,2,2,Deal 13 damage. Apply 1 Weak . Apply 1 Vulnerable .,Deal 13 damage. Apply 2 Weak . Apply 2 Vulnerable .
Whirlwind,Uncommon,Attack,Red,X,X,Deal 5 damage to ALL enemies X times.,Deal 8 damage to ALL enemies X times.
Barricade,Rare,Power,Red,3,2,Block is not removed at the start of your turn.,Block is not removed at the start of your turn.
Berserk,Rare,Power,Red,0,0,"Gain 2 Vulnerable . At the start of your turn, gain 1 Energy.","Gain 1 Vulnerable . At the start of your turn, gain 1 Energy."
Bludgeon,Rare,Attack,Red,3,3,Deal 32 damage.,Deal 42 damage.
Brutality,Rare,Power,Red,0,0,"At the start of your turn, lose 1 HP and draw 1 card.","Innate . At the start of your turn, lose 1 HP and draw 1 card."
Corruption,Rare,Power,Red,3,2,"Skills cost 0. Whenever you play a Skill, Exhaust it.","Skills cost 0. Whenever you play a Skill, Exhaust it."
Demon Form,Rare,Power,Red,3,3,"At the start of your turn, gain 2 Strength .","At the start of your turn, gain 3 Strength ."
Double Tap,Rare,Skill,Red,1,1,"This turn, your next Attack is played twice.","This turn, your next 2 Attacks are played twice."
Exhume,Rare,Skill,Red,1,0,Put a card from your Exhaust pile into your hand. Exhaust .,Put a card from your Exhaust pile into your hand. Exhaust .
Feed,Rare,Attack,Red,1,1,"Deal 10 damage. If Fatal , raise your Max HP by 3. Exhaust .","Deal 12 damage. If Fatal , raise your Max HP by 4. Exhaust ."
Fiend Fire,Rare,Attack,Red,2,2,Exhaust your hand. Deal 7 damage for each card Exhausted . Exhaust .,Exhaust your hand. Deal 10 damage for each card Exhausted . Exhaust .
Immolate,Rare,Attack,Red,2,2,Deal 21 damage to ALL enemies. Add a Burn into your discard pile.,Deal 28 damage to ALL enemies. Add a Burn into your discard pile.
Impervious,Rare,Skill,Red,2,2,Gain 30 Block . Exhaust .,Gain 40 Block . Exhaust .
Juggernaut,Rare,Power,Red,2,2,"Whenever you gain Block , deal 5 damage to a random enemy.","Whenever you gain Block , deal 7 damage to a random enemy."
Limit Break,Rare,Skill,Red,1,1,Double your Strength . Exhaust .,Double your Strength .
Offering,Rare,Skill,Red,0,0,Lose 6 HP. Gain 2 Energy. Draw 3 cards. Exhaust .,Lose 6 HP. Gain 2 Energy. Draw 5 cards. Exhaust .
Reaper,Rare,Attack,Red,2,2,Deal 4 damage to ALL enemies. Heal HP equal to unblocked damage. Exhaust .,Deal 5 damage to ALL enemies. Heal HP equal to unblocked damage. Exhaust .
Defend (Silent),Basic,Skill,Green,1,1,Gain 5 Block .,Gain 8 Block .
Neutralize,Basic,Attack,Green,0,0,Deal 3 damage. Apply 1 Weak .,Deal 4 damage. Apply 2 Weak .
Strike (Silent),Basic,Attack,Green,1,1,Deal 6 damage.,Deal 9 damage.
Survivor,Basic,Skill,Green,1,1,Gain 8 Block . Discard 1 card.,Gain 11 Block . Discard 1 card.
Acrobatics,Common,Skill,Green,1,1,Draw 3 cards. Discard 1 card.,Draw 4 cards. Discard 1 card.
Backflip,Common,Skill,Green,1,1,Gain 5 Block . Draw 2 cards.,Gain 8 Block . Draw 2 cards.
Bane,Common,Attack,Green,1,1,"Deal 7 damage. If the enemy has Poison , deal 7 damage again.","Deal 10 damage. If the enemy has Poison , deal 10 damage again."
Blade Dance,Common,Skill,Green,1,1,Add 3 Shivs into your hand.,Add 4 Shivs into your hand.
Cloak and Dagger,Common,Skill,Green,1,1,Gain 6 Block . Add 1 Shiv into your hand.,Gain 6 Block . Add 2 Shivs into your hand.
